path,MODEL_KIND,MODEL_FORM,purpose,primary_consumers,loaded_by_repo_query
system-models/metric_ref.py,AGENT_META,SCHEMA,Metric-provenance enabler — a quality-bearing model element DECLARES its validation metric + typed pointers to the test + fixture that measure it.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/metric_validation_harness.py,AGENT_META,INSTRUMENT,OFFLINE metric-validation harness (MV-1…MV-7) for the ``struct-tree`` / ``group-partition`` determinism metric,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/missing_control_metric.py,AGENT_META,INSTRUMENT,"The Missing-CONTROL-Metric — the governance-side dual of MMM, PRODUCTION tool.",system-models/governance_conversion_ledger.py; system-models/repo-query.py; docs/epics/closed/missing-control-metric-260725/pilot-artifacts/trace_controls.py,yes
system-models/model_decision_telemetry_coverage.py,AGENT_META,INSTRUMENT,Kind-aware decision/transform TELEMETRY coverage,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/model_invariant.py,AGENT_META,SCHEMA,The shared DECLARED-tier model-invariant record + tier→kind map (rule #57).,system-models/audio_render_rss_sizing_model.py; system-models/batch_execution_model.py; system-models/calibration_cell.py,yes
system-models/model_link_contract.py,AGENT_META,CONSTRAINT_SET,The typed MODEL-LINK CONTRACT — strong-links-by-default + declare-to-weaken + minimal floor.,system-models/telemetry_collection.py,yes
system-models/model_selection_probe.py,PRODUCT,DECISION_TABLE,Layer-3 model for the per-item dynamic MODEL-SELECTION probe (INV-PROBE-*).,tools/lint/lint-model-declares-scaling-metric.py,yes
system-models/model_sync_report.py,AGENT_META,INSTRUMENT,Model-sync drift-instrumentation report — composition over the standing sinks.,system-models/test_model_sync_report.py,yes
system-models/model_trace_coverage.py,AGENT_META,INSTRUMENT,"Trace-based model-element coverage — the fast, per-run complement to ``coverage_ref.py``'s slow, periodic instrumented LINE coverage.",system-models/kcoverage_exercise_harness.py; system-models/model_decision_telemetry_coverage.py; system-models/trace_model_tags.py,yes
system-models/module_seam_ownership.py,AGENT_META,REGISTRY,"Module-seam ownership — concern→canonical-seam map, Layer-3 meta-file sibling.",tools/lint/lint-module-seam-ownership-integrity.py,yes
system-models/process_view.py,PRODUCT,TOPOLOGY,C1 Process view — the runtime process/concurrency projection over the composed SM model.,system-models/diagram_model.py,yes
system-models/recovery_upload_first_trace_query.py,PRODUCT,INSTRUMENT,"``*_trace_query.py`` checker — INV-TQ-RECOVERY-UPLOAD-FIRST (Epic ``trace-emit-wiring-260912``, design ``phase-1-260912.md`` §7 candidate 3; Phase 7).",(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_cost_budget.py,PRODUCT,BUDGET,Layer-3 SSOT for the remediation chunk-cost DYNAMICS model (INV-BUDGET).,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_graph.py,PRODUCT,DATAFLOW,RemediationGraph,tools/lint/lint-model-trace-coverage-totality.py; tools/lint/lint-trace-emit-site-parity.py; system-models/kcoverage_activation.py,yes
system-models/remediation_graph_accuracy_provider.py,PRODUCT,REGISTRY (+BUDGET),"The ``ACCURACY`` attribute provider + the g-task→node join + the ``(variance, accuracy)`` 2×2 quadrant reading",(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_graph_bounded_execution_provider.py,PRODUCT,REGISTRY (+BUDGET),"BoundedExecutionProvider — the BOUNDED-EXECUTION attribute PROVIDER on the remediation-graph substrate (worker-watchdog-bounded-execution-graph-visible-260825 Phase 5, Part B).",(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_graph_checker_trust_provider.py,PRODUCT,REGISTRY,CheckerTrustProvider — the CHECKER-TRUST attribute PROVIDER on the remediation-graph substrate (checker-graph-suffix-ir-leverage-260830 Phase 2).,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_graph_complexity_provider.py,PRODUCT,REGISTRY (+BUDGET),"ComplexityProvider — the COMPLEXITY attribute provider on the remediation-graph substrate (Epic remediation-graph-substrate-260818, Phase 3b).",(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_graph_config_provider.py,PRODUCT,REGISTRY,KindConfigProvider — the ``AttributeName.KIND_CONFIG`` attribute provider for the remediation-graph substrate.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_graph_cost_provider.py,PRODUCT,REGISTRY (+BUDGET),CostProvider — the COST attribute PROVIDER on the remediation-graph substrate.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_graph_latency_provider.py,PRODUCT,REGISTRY (+BUDGET),LatencyProvider — the LATENCY attribute PROVIDER on the remediation-graph substrate (per-node-timing-telemetry-260825 Phase 2).,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_graph_measured_provider.py,PRODUCT,REGISTRY (+BUDGET),MeasuredAttributeProvider,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_graph_tolerance_provider.py,PRODUCT,REGISTRY (+BUDGET),The ``DETERMINISM_TOLERANCE`` attribute provider + the K-run reproducibility scorecard machinery,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_graph_unit_test_provider.py,PRODUCT,REGISTRY,TestCoverageProvider — the TEST_COVERAGE attribute PROVIDER on the remediation-graph substrate (per-node-unit-test-remediation-graph-260826 Phase 2).,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_pipeline_phases.py,PRODUCT,DATAFLOW,RemediationPipelinePhases — a read-only PROJECTION that NAMES the PDF remediation pipeline's PHASES + checkpoint-group BOUNDARIES; NOT a runtime authority.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/remediation_policy.py,PRODUCT,POLICY,RemediationPolicy — a read-only PROJECTION that NAMES the cross-format remediation POLICY axis; NOT a runtime authority.,web/testing/large_fixtures.py; web/testing/scale_corpus.py; web/testing/test_pipeline_harness_green_bar.py,yes
system-models/remediator_checker.py,PRODUCT,REGISTRY,"Layer-3 remediator⇄checker coverage-join model — a PROJECTION, not a re-derivation.",tools/lint/lint-invariant-verification-tier.py; system-models/repo-query.py; system-models/test_registry_form_invariants.py,yes
system-models/required_env_per_role.py,AGENT_META,REGISTRY,The required-env-per-DISPATCH-ROLE model — the missing SoT (rule #33).,web/dispatch/config_completeness.py; deploy/cloud-run/deploy_cloudrun.py; system-models/components.py,yes
system-models/rerun_idempotency_model.py,PRODUCT,CONSTRAINT_SET,"Layer-3 SSOT for the RERUN-IDEMPOTENCY author-content-hash contract (Epic rerun-idempotency-incremental-remediation-260821, Phase 2 — folds §I-Fork-G G1).",web/clisubprocess/source_text_rerun.py; web/clisubprocess/test_source_author_hash_unit.py; web/clisubprocess/test_source_text_rerun.py,yes
system-models/retention_policy.py,PRODUCT,POLICY,Single source of truth for the user-file retention policy.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/role_instantiations.py,AGENT_META,REGISTRY,The role -> instantiation registry — the single source of truth the FidelityDial projects from.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/runtime_census.py,AGENT_META,REGISTRY,Managed-runtime taxonomy — the census over each Component's primary runtime and heavy deps (Layer 3 meta-file).,tools/lint/lint-image-content-closure-unused-heavy-dep.py; system-models/components.py,yes
system-models/scope_tiers.py,AGENT_META,REGISTRY,Canonical test/coverage scope-tier classification for Components.,tools/lint/lint-published-cli-no-testsupport.py; tools/lint/lint_all/scope_filter.py; system-models/components.py,yes
system-models/serverless_phase_disposition.py,PRODUCT,DECISION_TABLE,SoT: the disposition of every GKE-DAG phase the serverless deploy leg does NOT run as one of its 3 plane-agnostic build targets.,tools/lint/lint-serverless-phase-drop-allowlisted.py; tools/lint/tests/test_lint_serverless_phase_drop_allowlisted.py,yes
system-models/service_sizing.py,PRODUCT,BUDGET,Plane-independent per-service memory-sizing source of truth (SoT).,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/service_tiers.py,PRODUCT,REGISTRY,Canonical tier-class classification for service-flow Components.,tools/lint/lint-meta-file-cross-refs-with-tiers-blocking.py; tools/lint/lint-service-flow-annotations-required.py; tools/lint/lint-service-flow-model.py,yes
system-models/staging_covariate.py,PRODUCT,SCHEMA,Staging size-covariate telemetry schema + the growth-confirmation output types.,tools/chunkless/derive_growth_confirmation.py,yes
system-models/state_machines.py,PRODUCT,STATE_MACHINE (+CONSTRAINT_SET),Typed Layer-3 SSOT for the composed cross-service state-machine model.,tools/lint/_bespoke_decls.py; tools/lint/lint-agent-orch-reflection-facet-registry.py; tools/lint/lint-invariant-verification-tier.py,yes
system-models/state_mutator_registry.py,PRODUCT,CONSTRAINT_SET,Canonical single-writer / monopoly contracts for state-mutation functions.,tools/lint/lint-genai-through-batchrenderer.py; tools/lint/lint-lua-contract.py; tools/lint/lint-meta-file-cross-refs-with-tiers-blocking.py,yes
system-models/stop_hook_governance.py,AGENT_META,CONSTRAINT_SET,system-models/stop_hook_governance.py — the Stop-event governance model (map == territory).,system-models/test_stop_hook_governance.py,yes
system-models/strip_order_trace_query.py,PRODUCT,INSTRUMENT,Worked-example ``*_trace_query.py`` checker,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/supported_filetypes.py,PRODUCT,REGISTRY,Canonical frozen registry of the four document filetypes supported by ADATool.,tools/build/gen_advertised_formats.py; tools/build/gen_format_capabilities.py; web/server.py,yes
system-models/symbol_resolution.py,AGENT_META,INSTRUMENT,Canonical AST-first symbol-in-file resolver — the ONE shared seam (rule #11 / CC-3).,tools/lint/lint-state-machine-model-drift.py; system-models/metric_ref.py; system-models/test_symbol_resolution.py,yes
system-models/synchronization.py,PRODUCT,REGISTRY,Canonical synchronization-lock registry for dev-time OS primitive inventory.,system-models/test__synchronization_doc_derived.py,yes
system-models/task_model.py,PRODUCT,INTERACTION,The typed TASK-CLOSURE model — every user journey as (entry → flow → CLOSURE).,system-models/repo-query.py,yes
system-models/telemetry_collection.py,AGENT_META,REGISTRY,Canonical TELEMETRY-COLLECTION PROVENANCE model — a MODELS-BRIDGE inventory of collection-points.,system-models/role_instantiations.py; system-models/telemetry_surface_binding.py; web/testing/stage_rusage.py,yes
system-models/telemetry_idjoin_model.py,PRODUCT,SCHEMA,Canonical TELEMETRY ID-JOIN model — the typed SoT for the agent-token capture/join collapse.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/telemetry_surface_binding.py,PRODUCT,REGISTRY,Canonical TELEMETRY-FEED ↔ SURFACE binding model — the CONSUMER half of the observability graph.,system-models/anomaly_detectors.py,yes
system-models/test_repo_query_invariant_coverage.py,,,Pin tests for ``repo-query.py models invariant-coverage`` (form-taxonomy Phase 5).,(no direct importer found; loaded generically by the repo-query model walker),no (test fixture)
system-models/timeout_budgets.py,PRODUCT,BUDGET,Typed Layer-3 SSOT for the pipeline timeout-budget ordering model.,tools/lint/lint-budget-guard-domination.py; tools/lint/lint-timeout-budget-composition-parity.py; tools/lint/lint-timeout-budget-ordering.py,yes
system-models/trace_model_links.py,AGENT_META,INSTRUMENT,Bidirectional model↔code↔trace RESOLVE + the two peer DISCOVERY signals,system-models/test_trace_model_links.py,yes
system-models/trace_model_tags.py,AGENT_META,REGISTRY,The DECLARED model-ID tag vocabulary,system-models/recovery_upload_first_trace_query.py; system-models/strip_order_trace_query.py; system-models/trace_model_links.py,yes
system-models/trace_query.py,PRODUCT,SCHEMA,Invariants-as-trace-queries,system-models/recovery_upload_first_trace_query.py; system-models/strip_order_trace_query.py; system-models/upload_before_parent_trace_query.py,yes
system-models/traceability.py,AGENT_META,SCHEMA,Typed traceability SCHEMA for the model↔code linkage graph (mbse-sync P4-a).,tools/unit_test_all/traceability_coverage.py; system-models/traceability_builder.py; tools/unit_test_all/test_traceability_coverage.py,yes
system-models/traceability_builder.py,AGENT_META,INSTRUMENT,The traceability GRAPH-BUILDER + the 6 resolvers behind the P4-a schema (mbse-sync P4-b).,tools/lint/lint-default-dependents-liveness.py; tools/lint/lint-dfd-code-cite-resolution.py; tools/lint/lint-dfd-fk-resolution.py,yes
system-models/upload_before_parent_trace_query.py,PRODUCT,INSTRUMENT,"Cross-SM ``*_trace_query.py`` checker — INV-TQ-UPLOAD-BEFORE-PARENT (Epic ``trace-emit-wiring-260912``, design ``phase-1-260912.md`` §7 candidate 2; Phase 7).",(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/user_feedback.py,PRODUCT,DATAFLOW,Tiny system-model of the user-feedback subsystem (report → persist → admin retrieval).,system-models/test__user_feedback_doc_derived.py,yes
system-models/ux_surfaces.py,PRODUCT,REGISTRY,Layer 3 meta-file: UX-surface write-authority registries for frontend trees.,tools/lint/lint-editor-dispatch-monopoly.py; tools/lint/lint-editor-oplog-monopoly.py; tools/lint/lint-meta-file-cross-refs-with-tiers-blocking.py,yes
system-models/verification_policy.py,PRODUCT,POLICY,Remediation VERIFICATION-POLICY model — a PROJECTION of the C# registry SoT.,system-models/components.py; system-models/repo-query.py,yes
system-models/warm_path_segments.py,PRODUCT,BUDGET,Warm-remediation critical-path SEGMENT MODEL (sibling of the cold-start model).,tools/lint/lint-warm-path-model-boundaries.py; tools/perf/warm_path_critical_path.py,yes
system-models/wcag_coverage_gaps.py,PRODUCT,REGISTRY,Canonical WCAG-coverage-gap registry for ADAtool rules.,system-models/test__wcag_coverage_gaps_doc_derived.py; system-models/test_wcag_coverage_gaps.py,yes
system-models/worker_rss_sizing_model.py,PRODUCT,BUDGET,``worker_rss_sizing_model`` — the peak-RSS prediction that sizes ``worker-chunkless``.,system-models/chunkless_concurrency_sizing_model.py; system-models/test_chunkless_concurrency_sizing_model.py,yes
