id,short_description,participant_lanes,coord_primitive,temporal_operator,temporal_predicate,derived_tier,hairy,checker_kinds,checker_paths,satisfy_refs,full_description
INV-12,Upload-before-DB-update on corrupt-output fallback,job-completer,NONE,[]P,FallbackUploadPrecedesDbUpdate,LINEAR_PROPERTY,False,PROPERTY,web/test_simworld/test_inv12_recovery_ordering.py::test_inv12_finalize_output_precedes_update_job_with_fakedb,web/jobtypes/statemachine.py::RECOVERY_TRANSITIONS; web/chunking/recovery.py::run_fallback_merge_recovery,Upload-before-DB-update on corrupt-output fallback (SM ordering).
INV-13,No-DROP under the bridge,server; quota-gate,ATOMIC_CLAIM,[]P,AckAfterTerminalWriteNoLoss,SAFETY_BFS,True,SIMWORLD; PROPERTY,web/test_simworld/test_inv13_ack_after_terminal_model_check.py::test_inv13_ack_after_terminal_holds_no_drop; web/test_quota_gate_push_parity.py::test_redelivery_skips_reserve_and_completes,web/quota_gate.py::run_push_consumer,No-DROP under the bridge — ack on handler-return AFTER the terminal write (the message lease spans the whole process).
INV-14,No-DOUBLE (credit),server; quota-gate,SQL_CAS,[]P,AtMostOneCreditReserve,SAFETY_BFS,True,SIMWORLD; PROPERTY,web/test_simworld/test_inv14_quota_gate_cas_model_check.py::test_inv14_cas_holds_at_most_once_reserve; web/test_quota_gate_push_parity.py::test_concurrent_plus_redelivery_composed_exactly_one_reserves,web/persistence/jobs.py::claim_quota_gate,No-DOUBLE (credit) — the quota-gate at-most-once billing fence: a redelivered check never double-reserves credits.
INV-15,No-DOUBLE (chunk fan-out),server; job-introducer,SQL_CAS,[]P,AtMostOneChunkFanout,SAFETY_BFS,True,SIMWORLD; PROPERTY,web/test_simworld/test_inv15_introducer_cas_model_check.py::test_inv15_cas_holds_at_most_once_fanout; web/test_introducer_claim_cas_dynamics.py::test_concurrent_plus_redelivery_composed_exactly_one_introduces,web/persistence/jobs.py::claim_introducer,No-DOUBLE (chunk fan-out) — the introducer at-most-once parent-claim CAS: a redelivered introduce never double-fans-out.
INV-16,Producer publishes STRAIGHT to the managed queue,server,NONE,[]P,ProducerPublishesDirectNoRedisPath,LINEAR_PROPERTY,False,PROPERTY,web/dispatch/test_inv16_direct_publish_property.py::test_each_quota_gate_publish_lands_exactly_one,web/dispatch/seam.py::get_dispatch_seam,Producer publishes STRAIGHT to the managed queue — no Redis-in-the-path bridge (single ordered publish per event).
INV-17,Orphan-recovery relocation preserves no-double-merge,job-completer; sweep-cron,SQL_CAS,[]P,OrphanRecoveryNoDoubleMerge,SAFETY_BFS,True,SIMWORLD,web/test_simworld/test_inv17_orphan_recovery_model_check.py::test_inv17_cas_holds_no_double_merge,web/persistence/jobs.py::claim_coordinator,Orphan-recovery relocation preserves no-double-merge — the lost-notify safety net (boot-scan → Cloud Scheduler cron) still gates the merge on the completer SQL-CAS.
INV-18,Async-cutover eventual termination,job-completer; sweep-cron,STALE_READ_HEARTBEAT,P~>Q,Submitted ~> Terminal,LIVENESS_TLC,True,TLA_TLC,spec/INV18AsyncTermination.tla,web/job_completer.py::_recover_orphaned_jobs,"Async-cutover eventual termination — under min=0 + at-least-once PUSH (delivery may be LOST) with the always-on polling supervisor GONE, every SUBMITTED job EVENTUALLY reaches a terminal state; the Cloud Scheduler sweep-cron is the load-bearing recovery driver."
INV-SCR-1,GCP-timer-INDEPENDENT scale-to-zero resume,job-completer; sweep-cron,SQL_CAS,[]P,TimerIndependentResume /\ NoDoubleProcess,SAFETY_BFS,True,SIMWORLD; SIMWORLD,web/test_simworld/test_scr_resume_model_check.py::test_scr_resume_completion_survives_all_push_failures; web/test_simworld/test_scr_resume_model_check.py::test_scr_resume_liveness_inflight,web/persistence/jobs.py::claim_quota_gate; web/job_completer.py::run_sweep,"GCP-timer-INDEPENDENT scale-to-zero resume — a scaled-to-zero (minScale=0) consumer's enqueued job ALWAYS reaches a terminal (done) state and is processed AT MOST ONCE, across every interleaving of {observable wake, durable-claim CAS, redeliver, drop, async-loss, owned-cron sweep}; completion holds even when EVERY cold-wake delivery loses its post-ACK async work — the owned Cloud-Scheduler sweep-net carries it, so resume NEVER depends on winning a race against a GCP-opaque timer/deadline."
INV-FO-1,Fan-out re-drive completeness — a WAITING parent NEVER has a permanently-absent chunk task: [](WAITING ⇒ ∀c: dispatched_durably(c) ∨ redrive_pending(c)).,job-introducer; sweep-cron,SQL_CAS,[]P,FanoutRedriveCompleteness,SAFETY_BFS,True,SIMWORLD,web/test_simworld/test_invfo1_fanout_redrive.py::test_invfo1_redrive_completeness_holds,web/dispatch/managed_queue.py::publish_chunks_bulk; web/dispatch/fanout_redrive.py::redrive_incomplete_fanout; web/job_completer.py::_redrive_incomplete_fanout,"Fan-out re-drive completeness — a WAITING parent NEVER has a permanently-absent chunk task: [](WAITING ⇒ ∀c: dispatched_durably(c) ∨ redrive_pending(c)). The missing-set (the durably-absent chunk TASKS, keyed on the chunk-ROW (status, started_at) — NOT a Cloud-Tasks task-existence query, which does not exist, G1) is always re-driven via a BLIND idempotent re-create (name-dedup convergent); on re-drive-budget exhaustion past the FANOUT_STALL_SECONDS window the fan-out watchdog sweep FAILs the parent (WAITING→FAILED, M4). FIDELITY GUARD (Q3): the re-drive targets ONLY missing TASKS keyed on the chunk-ROW state — a COMPLETED or leased/REMEDIATING chunk is NEVER re-created (never re-remediates a delivered chunk; a leased chunk counts as dispatched → no false-timeout)."
INV-FO-2,"Fan-out eventual termination (INV-18 fan-out extension, G3)",job-introducer; sweep-cron,STALE_READ_HEARTBEAT,P~>Q,WaitingWithMissingChunks ~> AllChunksTerminal,LIVENESS_TLC,True,TLA_TLC,spec/INVFO2FanoutTermination.tla,web/job_completer.py::_redrive_incomplete_fanout; web/dispatch/fanout_redrive.py::redrive_incomplete_fanout,"Fan-out eventual termination (INV-18 fan-out extension, G3) — every chunk of a WAITING parent EVENTUALLY reaches a terminal state: WaitingWithMissingChunks ~> AllChunksTerminal. This is the fan-OUT liveness INV-18 does NOT express: INV-18 (Submitted ~> Terminal) DELIBERATELY FOLDS chunk cardinality into one job-level token to keep its TLC state space tractable (G3: do NOT un-fold it). A NEW invariant with its OWN small .tla keeps INV-18 = job-level and INV-FO-2 = fan-out-level, each spec small. Under min=0 + at-least-once managed publish, a chunk task may be LOST (partial publish / created-but-undelivered); the fan-out watchdog sweep (the ONE always-reachable driver) re-finds the stranded parent and re-drives its missing chunks — WITHOUT the sweep a lost chunk task strands the parent in WAITING forever (the falsifiability teeth)."
INV-FR-1,Frontier-state derivability,worker,NONE,[]P,FrontierStateDerivable,LINEAR_PROPERTY,False,PROPERTY,web/jobtypes/test_frontier_state_property.py::test_invfr1_derive_is_pure_total_and_matches_table,web/jobtypes/statemachine.py::derive_frontier_state,"Frontier-state derivability — a job's FrontierState (UNPLANNED/PLANNED/EXHAUSTED/FINALIZED) is a PURE, TOTAL, deterministic function of its durable rows (jobs.planned_at + jobs.status + the done/total chunk-row counts); there is NO independent frontier store to drift. □(FrontierState == derive_frontier_state(rows)). The derived view is A.24's highest-rung join (UNIFY) — it cannot diverge from what it derives."
INV-FR-2,Frontier immutability post-PLAN,worker,NONE,[]P,FrontierImmutablePostPlan,LINEAR_PROPERTY,False,PROPERTY,web/jobtypes/test_frontier_state_property.py::test_invfr2_immutability_never_premature_finalizes,web/jobtypes/statemachine.py::derive_frontier_state,"Frontier immutability post-PLAN — once planned, no unit row is created outside the PLAN claim, so the availability predicates read a STABLE ``total`` and can never PREMATURE-finalize. □(planned ⇒ EXHAUSTED requires total>0 ∧ done>=total): a hypothetical late row only DELAYS EXHAUSTED (raises total), never advances it, and a zero-unit frontier (the R1-impossible total==0) is never EXHAUSTED (design §4.5)."
INV-FR-3,PLAN claim atomicity + claim-once (Ph1b R1),job-introducer; sweep-cron,SQL_CAS,[]P,FrontierPlanAtomicClaimOnce,SAFETY_BFS,True,SIMWORLD,web/test_simworld/test_invfr3_frontier_plan.py::test_invfr3_atomic_cas_plan_never_violates,web/persistence/jobs.py::bulk_create_chunk_jobs; web/worker.py::_claim_and_process_chunk,"PLAN claim atomicity + claim-once (Ph1b R1) — the PLAN arm claims via a ``planned_at IS NULL`` SQL-CAS and stamps ``planned_at`` ATOMICALLY inside the bulk-create transaction, under Cloud-Tasks at-least-once redelivery + concurrent plan-<job> deliveries. Two safety obligations: (3a) □ ¬(planned_at ∧ total==0) — never a planned-but-no-rows window (``bulk_create_chunk_jobs`` is NOT idempotent: fresh uuids, no (parent,chunk_index) unique key); (3b) □ at-most-one plan worker creates the rows (the CAS admits one; a second create would DUPLICATE the frontier)."
INV-FR-4,FINALIZE triple-fence single-execution,worker; sweep-cron,SQL_CAS,[]P,FrontierSingleFinalize,SAFETY_BFS,True,SIMWORLD,web/test_simworld/test_invfr4_frontier_finalize.py::test_invfr4_merge_cas_never_double_finalizes,web/job_completer.py::_claim_merge_role,"FINALIZE triple-fence single-execution — at most one FINALIZE effectively completes per job under concurrent last-finishers + the recovery sweep (Ph1b R2) + Cloud-Tasks redelivery. □ merged_count <= 1, held by three fences: (1) finalize-<job> task name-dedup collapses the enqueues to ≤1 durable task, (2) the merge-claim SQL-CAS admits one deliverer, (3) the positive ``merge_completed_at`` signal idempotency-checks a redelivery. STRICTLY STRONGER than today's dedup-less Pub/Sub completer fan-in (CAS-only, no name-dedup — design §4.6)."
INV-P1,DB-is-truth / Redis-is-derived,server; worker,NONE,[]P,AuthoritativeStateInPostgres,LINEAR_PROPERTY,False,PROPERTY,web/persistence/test_jobs_doc_derived.py,web/persistence/jobs.py::update_job,DB-is-truth / Redis-is-derived — every authoritative datum (job status / account / billing / analytics) lives in Postgres; Redis holds only ephemeral rebuildable signals.
INV-P2,update_job compare-and-set guard,worker; job-completer,SQL_CAS,[]P,AtMostOneStatusWinner,SAFETY_BFS,True,SIMWORLD; PROPERTY,web/test_simworld/test_invp2_update_job_cas.py::test_invp2_cas_holds_at_most_one_winner_and_mirror_consistency; web/persistence/test_jobs_cas_property.py::test_should_mirror_iff_cas_won_or_unconditional,web/persistence/jobs.py::update_job,"update_job compare-and-set guard — a conditional status transition (expected_status=X, status=Y) applies iff the row is in X; a losing racer sees rows_updated==0 and never overwrites the winner (the chunk mirror writes ONLY when the CAS won)."
INV-P3,Upload-before-DB-update on the corrupt-output fallback,worker,NONE,[]P,UploadPrecedesCompletedWrite,LINEAR_PROPERTY,False,PROPERTY,web/chunking/test_recovery_doc_derived.py,web/jobtypes/statemachine.py::RECOVERY_TRANSITIONS,"Upload-before-DB-update on the corrupt-output fallback — the fallback file is uploaded to remote storage BEFORE status='completed' is written, so a crash between the two never leaves a completed row pointing at a missing artifact."
INV-P4,Migration advisory-lock mutual exclusion,server; worker; job-introducer; quota-gate,ATOMIC_CLAIM,[]P,AtMostOneMigrator,SAFETY_BFS,True,SIMWORLD; PROPERTY,web/test_simworld/test_invp4_migration_lock.py::test_invp4_lock_holds_mutual_exclusion; web/test_db_migration_lock.py::test_resolve_direct_url_pgbouncer_falls_through_to_xact_mode,web/persistence/migrations.py::init_db,Migration advisory-lock mutual exclusion — at most ONE process runs schema migrations at a time; the exclusion (pg_advisory_xact_lock / pg_try_advisory_lock on _MIGRATION_LOCK_ID) is held for the whole migration body across the ~4-pod concurrent boot.
INV-P5,Migration-block error isolation,server,NONE,[]P,FailedBlockIsolatedAndMissingSeedFailsLoud,LINEAR_PROPERTY,False,PROPERTY,web/persistence/test_seed_invariants_doc_derived.py,web/persistence/migrations.py::seed_required_rows; web/persistence/seed_invariants.py::assert_required_seed_rows,"Migration-block error isolation — each block commits/rolls-back independently (SAVEPOINT in xact mode, per-block commit in bypass); a failed _migrate_* block is logged+swallowed without aborting the rest, but the seed-invariant assertion is fail-LOUD."
INV-P6,Column-allowlist ↔ CAS interpolation soundness,worker,NONE,[]P,EveryInterpolatedColumnAllowlisted,LINEAR_PROPERTY,False,PROPERTY,web/persistence/test_columns_doc_derived.py,web/persistence/columns.py::_VALID_JOB_UPDATE_COLUMNS; web/persistence/jobs.py::update_job,Column-allowlist ↔ CAS interpolation soundness — every column name f-string-interpolated into the update_job/update_chunk SET clause MUST be in the closed _VALID_*_UPDATE_COLUMNS allowlist (an invalid column raises ValueError before any SQL runs).
INV-P7,Schema-drift floor,server,NONE,[]P,AllowlistColumnsExistInSchema,LINEAR_PROPERTY,False,PROPERTY,web/persistence/test_columns_doc_derived.py,web/persistence/columns.py::_VALID_JOB_UPDATE_COLUMNS,"Schema-drift floor — every column in _VALID_*_UPDATE_COLUMNS corresponds to a column actually present in the Alembic-managed schema (ORM D3b: schema authority is Alembic + the Phase-2 models, not the retired migrations.py DDL chain); a pinned-but-unlanded column is a drift finding, not a silent write-failure."
INV-P8,Connection dispatch soundness,server,NONE,[]P,ModeMatchesUrlKind,LINEAR_PROPERTY,False,PROPERTY,web/test_db_migration_lock.py::test_resolve_direct_url_pgbouncer_falls_through_to_xact_mode,web/persistence/conn.py::_open_direct_postgres_conn; web/persistence/conn.py::_resolve_direct_database_url,Connection dispatch soundness — a pgbouncer (transaction-pool) URL ALWAYS routes to xact-lock mode (is_bypass=False) and a direct-postgres URL routes to bypass mode (is_bypass=True); the wrong mode drops the session lock at COMMIT (the pre-260505 bug).
INV-C2-1,SOA-cost immediate-durability,worker,NONE,[]P,SoaReturn => AccumulatorWritten,LINEAR_PROPERTY,False,PROPERTY,web/dispatch/test_soa_cost_unit.py,web/dispatch/soa_cost.py::_accumulate_soa_cost,"SOA-cost immediate-durability — every SOA-call return folds its (genai_usd, compute_usd) into the per-job Redis accumulator (HINCRBYFLOAT) synchronously at the return site, never buffered in worker memory across the next step (the 'lose at most ONE in-flight step' durability bar)."
INV-C2-2,Both-terminals cost flush,worker,NONE,P~>Q,ChunkTerminal ~> SoaCostFlushedToJobsRow,LINEAR_PROPERTY,False,PROPERTY,web/costrollup/test_soa_flush_cov_unit.py,web/costrollup/soa_flush.py::flush_soa_cost_to_job_row,Both-terminals cost flush — flush_soa_cost_to_job_row is invoked from BOTH the COMPLETING and the FAILED chunk-terminal on_enter hooks; a FAILED job's cost-to-date IS billed (partial-completion). A success-path-only flush silently drops FAILED-job spend.
INV-C2-3,Flush idempotency,worker,REDIS_READ_DELETE,[]P,TerminalFlushedTwice => CostFoldedOnce,LINEAR_PROPERTY,False,PROPERTY,web/dispatch/test_soa_cost_unit.py,web/dispatch/soa_cost.py::_flush_soa_cost,"Flush idempotency — _flush_soa_cost is an atomic Redis HGETALL+DELETE pipeline, so a rare re-entrant terminal (chunk-merge re-drive) finds an empty hash and folds 0.0, never double-counting spend into jobs.cost_usd."
INV-C2-4,"Exit-code fidelity — handle_cli_result maps every value in the closed CLI exit-code set to exactly one terminal, with no fall-through gap.",worker,NONE,[]P,ExitCode in ClosedSet => ExactlyOneTerminal,LINEAR_PROPERTY,False,PROPERTY,web/workerlifecycle/test_cli_result.py::TestHandleCliResultExitCodeTotalMapping,web/workerlifecycle/cli_result.py::handle_cli_result,"Exit-code fidelity — handle_cli_result maps every value in the closed CLI exit-code set to exactly one terminal, with no fall-through gap. The mapping is DETERMINISTIC (same code+markers ⇒ same terminal) and TOTAL (rule #14 — an unhandled code cannot silently succeed)."
INV-C2-5,C#↔Python exit-code table consistency,worker; soa-services,NONE,[]P,PyExitConstants == CSharpExitCodes,LINEAR_PROPERTY,False,PROPERTY,web/wire_contracts/test_generated_cli_exit_codes.py,web/workerlifecycle/cli_result.py::handle_cli_result,C#↔Python exit-code table consistency — the Python CLI_EXIT_* constants EQUAL the C# producer's exit codes (Program.cs + ServiceShouldHaveWorkedException/PerPassValidator .ExitCode). A drift (C# emits an exit code Python doesn't enumerate) silently routes the new code to GENERIC_FAIL — the exit-code analogue of 'a regex subtly wrong for months'. ⚠️ ALREADY DRIFTED: C# exit 4 (ServiceShouldHaveWorkedException) has NO Python constant → G3 shared-map is the by-construction fix (phase-2 design).
INV-C2-6,Chunk cost fan-in sums to parent,worker; job-completer,NONE,[]P,ParentCost == Sum(ChunkCosts),LINEAR_PROPERTY,False,PROPERTY,web/costrollup/test_persist_unit.py,web/costrollup/persist.py::persist_parent_cost_from_chunks,"Chunk cost fan-in sums to parent — for a chunked parent job, persist_parent_cost_from_chunks sums cost_usd (+ tokens, time) over ALL chunk rows (including FAILED/skipped — partial-completion is billed) into the parent row: jobs.cost_usd == Σ(chunk costs). A dropped chunk is an undercount (the P15 measure-one-level-deeper invariant — the number that drives engineering must equal the invoice)."
INV-19,Atomic chunk-row creation (C5-a),job-introducer,NONE,[]P,AllChunkRowsOrNone,LINEAR_PROPERTY,False,PROPERTY,web/chunking/test_split_atomic_creation_property.py,web/persistence/jobs.py::bulk_create_chunk_jobs,"Atomic chunk-row creation (C5-a) — split_*_into_chunks create ALL chunk rows via one bulk_create_chunk_jobs(specs) transaction: N specs ⇒ N rows in the same order, or 0 rows on any failure (never a partial set). A mid-loop failure rolls the whole batch back (the connection's commit is never called)."
INV-20,Re-drivable chunk publish (C5-b),job-introducer,NONE,[]P,AllChunksPublishedOrReDriven,LINEAR_PROPERTY,False,PROPERTY,web/chunking/test_pdf_chunk_boundaries_property.py,web/dispatch/queue.py::publish_chunks_bulk; web/dispatch/managed_queue.py::publish_chunks_bulk; web/dispatch/fanout_redrive.py::redrive_incomplete_fanout,"Re-drivable chunk publish (C5-b) — dispatch_chunk_jobs publishes ALL chunk specs through a bulk publish whose RETURN CONTRACT is a re-drivable missing-set: the exact specs with NO durable task after the call. The Redis plane satisfies it via one publish_chunks_bulk Lua EVAL (multi-ZADD + per-member ZSCORE-verify, the returned missing-set = the specs that failed the ZSCORE verify); the Cloud Run MANAGED plane satisfies the SAME contract via a re-drivable, idempotent per-chunk create keyed on the durable chunk-ROW set (name-dedup convergent) — the missing-set = the specs left un-enqueued, re-driven to complete BEFORE the parent enters WAITING. ⚠️ RE-ANCHORED (chunk-fanout-liveness-fix Phase 4 M1, REVISE-2): the pre-Epic predicate named a per-chunk publish LOOP impossible and was BLIND to the managed plane (satisfy_ref was Redis-only) — the exact model→as-built drift that let the live 3-chunk-stuck-at-1/3 stranding be declared impossible. The PARITY of the two impls' return contract is held at a parity CONTROL (a shared property test both pass; §G4 — UNIFY unaffordable: Redis Lua EVAL vs Cloud Tasks HTTP creates share the contract, not a body). Near-duplicate of INV-RC-5 (the Redis-comm-plane view of the SAME publish contract) — both intentionally retained + both re-anchored (F-A)."
INV-21,Chunk purge on every cleanup path (C5-c),server; job-completer,NONE,[]P,EveryCleanupPurgesChunks,LINEAR_PROPERTY,False,PROPERTY,web/test_chunk_purge_property.py,web/lifecycle/job_lifecycle.py::purge_parent_chunks_from_redis,"Chunk purge on every cleanup path (C5-c) — every parent-cleanup path (cancel, stale-sweep) purges the parent's chunks from ALL Redis queue structures via the canonical purge_parent_chunks_from_redis seam; CHECKING/AWAITING_CHECK chunks live in the quota-gate queues and are otherwise leaked. ⚠️ AS-BUILT (Phase-2 AUDIT, §G-4): the content-validation-fail path calls lifecycle.delete_chunks (DB rows + store blobs) but NOT purge_parent_chunks_from_redis — a DIVERGENT (complementary, not equivalent) contract → routed [FIX]+[LINT] (design §6 Q-C)."
INV-22,"strip-attribution precedes finalize, never on failed jobs (C5-d)",job-completer,NONE,[]P,StripPrecedesFinalizeOnSuccess,LINEAR_PROPERTY,False,PROPERTY,web/chunking/test_merge_finalize_completion_kwargs_seam.py,web/chunking/merge.py::_finalize_merge_output,"strip-attribution precedes finalize, never on failed jobs (C5-d) — in _finalize_merge_output, _strip_attribution_before_delivery runs BEFORE store.finalize_output, and only on non-failed jobs (a strip that flips status to FAILED short-circuits the finalize). Debug attribution never ships."
INV-23,"Content-fidelity gate: input ⊆ output (C5-e, C5-f)",job-completer,NONE,[]P,MergedOutputContentSupersetsInput,LINEAR_PROPERTY,False,PROPERTY,web/chunking/test_merge_content_validation_failure_seam.py,web/chunking/merge.py::_run_merge_validation_gates,"Content-fidelity gate: input ⊆ output (C5-e, C5-f) — the merged output passes the 3-gate sequence (integrity → openability → content-validator) IN ORDER before delivery; the content-validator enforces input content ⊆ output content. A fidelity failure drives _handle_content_validation_failure (purge + archive + fail-job — never silent-degrade, MISSION fidelity). CROSS-LANG (§G-3): the gate DECISION is Python (anchored here); the PREDICATE (input ⊆ output) is the C# ContentValidator.Validate — an ACCEPTED_UNMEASURED tail (claimed, not Python-measured) WITH a navigable C#-pointer in the ACCEPTED_UNMEASURED allowlist below."
INV-24,Per-pass fidelity marker surfaces + gates (C5-g),worker,NONE,[]P,PassFidelityMarkerParsedOrDegraded,LINEAR_PROPERTY,False,PROPERTY,web/test_genai_config_overrides.py,web/clisubprocess/markers.py::_PASS_FIDELITY_MARKER,"Per-pass fidelity marker surfaces + gates (C5-g) — the per-pass fidelity signal is a TYPED marker, not a magic string: ##PASS_FIDELITY##:{json} on CLI stderr is parsed via _PASS_FIDELITY_MARKER and routed by CLI_EXIT_PASS_FIDELITY in handle_cli_result; a malformed payload degrades attribution to 'unknown' rather than crashing (fail-loud-but-bounded). STAGING-only gate."
INV-C5X-1,PDF chunk-boundary tiling is a deterministic total closure (C5-EXTENSION split),job-introducer,NONE,[]P,ChunkBoundariesTileDocumentExactlyOnce,LINEAR_PROPERTY,False,PROPERTY,web/chunking/test_pdf_chunk_boundaries_property.py,web/chunking/split.py::compute_pdf_chunk_boundaries,"PDF chunk-boundary tiling is a deterministic total closure (C5-EXTENSION split) — compute_pdf_chunk_boundaries partitions [1..page_count] into contiguous, non-overlapping, gap-free pages_per_chunk-sized ranges whose union is the whole document (every page appears in exactly one chunk). The split stage that feeds work→finalize→merge; a boundary gap/overlap silently drops or double-processes pages. PURE (no I/O) — the tiling closure is the load-bearing invariant."
INV-C5X-2,Partial-completion COLUMN is source-of-truth; the envelope mirror is faithful (C5-EXTENSION finalize),job-completer,NONE,[]P,EnvelopeMirrorEqualsPartialColumn,LINEAR_PROPERTY,False,PROPERTY,web/chunking/test_partial_completion_property.py,web/chunking/finalize.py::_persist_partial_completion_count; web/chunking/finalize.py::_compute_partial_count_for_envelope,"Partial-completion COLUMN is source-of-truth; the envelope mirror is faithful (C5-EXTENSION finalize) — _persist_partial_completion_count writes the partial_completion_count COLUMN (the SoT, architect §7 Q2/Q5 Option B) as images_failed + font_not_avail + font_failed; _compute_partial_count_for_envelope derives the envelope MIRROR from the SAME three buckets, so the customer-facing 3-state 'partial' signal never diverges from the durable column. Fragmentation is a SEPARATE column in both (not folded). VERIFIED CONSISTENT (brief bug-watch): column writer ≡ envelope mirror on partial_completion_count — no lost-state drift."
INV-C5X-3,Chunk-eligibility decision is pure + hot-config-safe; downsample dispatch is decision-gated (C5-EXTENSION decision),worker,NONE,[]P,ChunkDecisionPureAndHotConfigSafe,LINEAR_PROPERTY,False,PROPERTY,web/chunking/test_decision_doc_derived.py,web/chunking/decision.py::classify_chunk_eligibility; web/chunking/decision.py::_maybe_run_downsample,"Chunk-eligibility decision is pure + hot-config-safe; downsample dispatch is decision-gated (C5-EXTENSION decision) — classify_chunk_eligibility is a PURE function of (input_size_mb, page_count, size_threshold, page_threshold) → ChunkTrigger, with NO I/O or config read; the threshold accessors get_{size,page}_chunk_threshold* read runtime_config.current() at CALL time so a POST /api/admin/config flip takes effect on the NEXT job without drifting an in-flight decision. _maybe_run_downsample is the coordinator entry gated on that decision. VERIFIED (brief bug-watch): no threshold-drift — the live-config read is per-call."
